Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-09-09T00:00:00,<12 Years,9.596041317,0.005,0.003
2021-09-09T00:00:00,12 - 15 Years,13.27556675,0.512,0.392
2021-09-09T00:00:00,16 - 17 Years,13.87598931,0.593,0.481
2021-09-09T00:00:00,18 - 24 Years,12.35921666,0.609,0.49
2021-09-09T00:00:00,25 - 39 Years,11.96234529,0.642,0.532
2021-09-09T00:00:00,40 - 49 Years,10.64677811,0.733,0.625
2021-09-09T00:00:00,50 - 64 Years,8.028744727,0.813,0.711
2021-09-09T00:00:00,65 - 74 Years,5.837418385,0.949,0.843
2021-09-09T00:00:00,75+ Years,6.337819463,0.896,0.796
2021-09-08T00:00:00,<12 Years,13.07682994,0.005,0.003
2021-09-08T00:00:00,12 - 15 Years,18.32320358,0.511,0.389
2021-09-08T00:00:00,16 - 17 Years,19.13525627,0.592,0.479
2021-09-08T00:00:00,18 - 24 Years,16.72682692,0.608,0.489
2021-09-08T00:00:00,25 - 39 Years,16.10655882,0.641,0.531
2021-09-08T00:00:00,40 - 49 Years,14.26432294,0.732,0.624
2021-09-08T00:00:00,50 - 64 Years,10.72489551,0.812,0.71
2021-09-08T00:00:00,65 - 74 Years,7.754100335,0.948,0.842
2021-09-08T00:00:00,75+ Years,8.394806443,0.896,0.795
2021-09-07T00:00:00,<12 Years,16.62425361,0.005,0.003
2021-09-07T00:00:00,12 - 15 Years,23.49043241,0.508,0.386
2021-09-07T00:00:00,16 - 17 Years,24.43586696,0.589,0.476
2021-09-07T00:00:00,18 - 24 Years,21.23625807,0.606,0.487
2021-09-07T00:00:00,25 - 39 Years,20.32781803,0.639,0.529
2021-09-07T00:00:00,40 - 49 Years,17.86946678,0.73,0.622
2021-09-07T00:00:00,50 - 64 Years,13.41945711,0.811,0.709
2021-09-07T00:00:00,65 - 74 Years,9.622854633,0.947,0.841
2021-09-07T00:00:00,75+ Years,10.34242397,0.895,0.795
2021-09-06T00:00:00,<12 Years,19.18970281,0.005,0.003
2021-09-06T00:00:00,12 - 15 Years,27.39938251,0.507,0.384
2021-09-06T00:00:00,16 - 17 Years,28.52200559,0.588,0.475
2021-09-06T00:00:00,18 - 24 Years,24.41257297,0.605,0.487
2021-09-06T00:00:00,25 - 39 Years,23.10631764,0.638,0.529
2021-09-06T00:00:00,40 - 49 Years,20.29899713,0.73,0.621
2021-09-06T00:00:00,50 - 64 Years,15.18208044,0.81,0.709
2021-09-06T00:00:00,65 - 74 Years,10.79474935,0.947,0.841
2021-09-06T00:00:00,75+ Years,11.54829228,0.895,0.795
2021-09-05T00:00:00,<12 Years,22.04876267,0.005,0.003
2021-09-05T00:00:00,12 - 15 Years,31.66540016,0.505,0.382
2021-09-05T00:00:00,16 - 17 Years,32.77696445,0.587,0.473
2021-09-05T00:00:00,18 - 24 Years,27.77798237,0.604,0.486
2021-09-05T00:00:00,25 - 39 Years,26.25569195,0.638,0.528
2021-09-05T00:00:00,40 - 49 Years,23.14165748,0.729,0.62
2021-09-05T00:00:00,50 - 64 Years,17.27593348,0.81,0.708
2021-09-05T00:00:00,65 - 74 Years,12.19907197,0.947,0.841
2021-09-05T00:00:00,75+ Years,13.05632874,0.895,0.794
2021-09-04T00:00:00,<12 Years,22.72820214,0.005,0.003
2021-09-04T00:00:00,12 - 15 Years,32.73660283,0.503,0.38
2021-09-04T00:00:00,16 - 17 Years,33.87257328,0.586,0.472
2021-09-04T00:00:00,18 - 24 Years,28.53388764,0.602,0.485
2021-09-04T00:00:00,25 - 39 Years,27.08546343,0.636,0.527
2021-09-04T00:00:00,40 - 49 Years,23.87189841,0.728,0.619
2021-09-04T00:00:00,50 - 64 Years,17.7751618,0.809,0.707
2021-09-04T00:00:00,65 - 74 Years,12.52650691,0.946,0.84
2021-09-04T00:00:00,75+ Years,13.40897512,0.894,0.794
2021-09-03T00:00:00,<12 Years,23.70154975,0.005,0.003
2021-09-03T00:00:00,12 - 15 Years,34.29300735,0.501,0.377
2021-09-03T00:00:00,16 - 17 Years,35.44191236,0.584,0.469
2021-09-03T00:00:00,18 - 24 Years,29.49259677,0.6,0.483
2021-09-03T00:00:00,25 - 39 Years,28.1007778,0.634,0.525
2021-09-03T00:00:00,40 - 49 Years,24.72154312,0.726,0.618
2021-09-03T00:00:00,50 - 64 Years,18.43830229,0.808,0.706
2021-09-03T00:00:00,65 - 74 Years,12.91247296,0.945,0.84
2021-09-03T00:00:00,75+ Years,13.73427912,0.893,0.793
2021-09-02T00:00:00,<12 Years,25.3507671,0.005,0.003
2021-09-02T00:00:00,12 - 15 Years,36.54475395,0.498,0.372
2021-09-02T00:00:00,16 - 17 Years,37.66241518,0.581,0.466
2021-09-02T00:00:00,18 - 24 Years,31.591073,0.597,0.481
2021-09-02T00:00:00,25 - 39 Years,30.12043017,0.632,0.523
2021-09-02T00:00:00,40 - 49 Years,26.38079507,0.724,0.616
2021-09-02T00:00:00,50 - 64 Years,19.62064931,0.806,0.704
2021-09-02T00:00:00,65 - 74 Years,13.73275684,0.944,0.838
2021-09-02T00:00:00,75+ Years,14.44097404,0.893,0.793
2021-09-01T00:00:00,<12 Years,26.57488855,0.005,0.003
2021-09-01T00:00:00,12 - 15 Years,38.1857271,0.496,0.37
2021-09-01T00:00:00,16 - 17 Years,39.55733613,0.579,0.464
2021-09-01T00:00:00,18 - 24 Years,33.34539725,0.596,0.479
2021-09-01T00:00:00,25 - 39 Years,31.92646547,0.63,0.522
2021-09-01T00:00:00,40 - 49 Years,27.99504916,0.723,0.614
2021-09-01T00:00:00,50 - 64 Years,20.81298545,0.805,0.703
2021-09-01T00:00:00,65 - 74 Years,14.498751,0.943,0.838
2021-09-01T00:00:00,75+ Years,15.31452747,0.892,0.792
2021-08-31T00:00:00,<12 Years,28.16461032,0.005,0.003
2021-08-31T00:00:00,12 - 15 Years,40.11457529,0.492,0.366
2021-08-31T00:00:00,16 - 17 Years,41.72788194,0.576,0.461
2021-08-31T00:00:00,18 - 24 Years,36.01730256,0.593,0.477
2021-08-31T00:00:00,25 - 39 Years,34.732406,0.628,0.52
2021-08-31T00:00:00,40 - 49 Years,30.39765165,0.721,0.613
2021-08-31T00:00:00,50 - 64 Years,22.62283001,0.804,0.702
2021-08-31T00:00:00,65 - 74 Years,15.77328724,0.942,0.837
2021-08-31T00:00:00,75+ Years,16.59120548,0.891,0.791
2021-08-30T00:00:00,<12 Years,29.40896028,0.005,0.003
2021-08-30T00:00:00,12 - 15 Years,41.64535295,0.49,0.363
2021-08-30T00:00:00,16 - 17 Years,43.27138119,0.575,0.459
2021-08-30T00:00:00,18 - 24 Years,37.96733962,0.592,0.476
2021-08-30T00:00:00,25 - 39 Years,36.83775851,0.627,0.519
